municipality,id,id_new,muni_type,gnis_id,county,outer,rr1,muni_type_numeric,marcellus,utica,population,land_area,density,high_school,unemployment,homeownership,inner,percap_acs,median_household,median_family,opponent,proponent,entrepreneurship,contested_entrepreneurship,entrepreneurship_binary,opponent_binary,proponent_binary,oban,omoratorium,ozoningpreventing,ozoningallowing,oroaduse,operformance,oresolutionopposing,onolease,oidontknow,oother,o_verballorwritten,obefore2008,o2008,o2009,o2010,o2011,o2012,o2013,o2014,o_dontknowyear,o_activitylevel5,o_controversy6,o_knowledge7,o_wellregarded8,o_livework9,o_otherissues10,o_occupation10,ooppositionretired,o_success12,o_binaryog12,oogmunicipalitybased,oogpublic,ooglandownercoalition,o_letteremail13,o_petitiom13,o_publicmtg13,o_officialsmuni13,o_officialsoutside13,o_orggroup13,o_presentation13,o_protest13,idontknow,o_other13,o_verbalwritten13,o_people14,o_officialsmunicipality_14,o_officialsregion14,o_prominentmunicipality14,oprominentregion,o_friendly14,o_wellrespected14,o_informedgovernment14,o_informedfracking14,o_time14,o_money14,pmoratorium,pzoningfacilitating,proaduse,pperformance,presolution,ppermittesting,please,pidontknow,pother,pverbalorwritten,pinaction,pbefore2008,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p_dontknow_16,p_activitylevel17,p_controversy18,p_knowledge19,p_wellregarded20,p_livework21,p_otherissues22,p_occupation23,pretired,p_success24,p_binaryog26,pogmunicipalitybased,pogenergyco,pogpublic,poglandownercoalition,p_letteremail26,p_petition26,p_publicmtg26,p_officialsmuni26,p_officialsoutside26,p_orggroup26,p_presentation26,p_protest26,p_dontknow_26,p_other_26,p_verbalorwritten_26,ppeople,p_officialsmunicipality_27,pofficialsregion,pprominentmunicipality,pprominentregion,pfriendly,pwellrespected,pinformedgovernment,pinformedfracking,ptime,pmoney,view_self28,view_others29,change_others30,view_legislators31,change_legislators32,view_chief33,change_chief34,gender,age,years,education,othercompleted,duplicatemerge,shales,shalelayers,ambiguity_otherviews,ambiguity_changeotherviews,ambiguity_viewlegislators,ambiguity_changelegislators,ambiguity_viewchief,ambiguity_changechief,sum_ambiguity,sum_ambiguity_views,sum_ambiguity_change,nodatami2,agmi2,pasturemi2,forestmi2,urbanmi2,watermi2,o_controversy_split,p_controversy_split,ag_pasture,ag_pasture_forest,view_others_binary,view_legislators_binary,view_chief_binary,positive_comm_change,negative_comm_change,positive_leg_change,negative_leg_change,positive_chief_change,negative_chief_change,community_view_sum,community_trends_positive_sum,community_trends_negative_sum,view_self_binary,county_numeric,o_time14_binary,o_money14_binary,o_informedfracking14_binary,o_informedgovernment14_binary,o_wellrespected14_binary,o_friendly14_binary,o_prominentregion14_binary,o_prominentmunicipality14_binary,o_officialsregion14_binary,o_officialsmunicipality14_binary,p_time27_binary,p_money27_binary,p_informedfracking27_binary,p_informedgovernment27_binary,p_wellrespected27_binary,p_friendly27_binary,p_prominentregion27_binary,p_prominentmunicipality27_binary,p_officialsregion27_binary,p_officialsmunicipality27_binary,o_people14_binary,p_people27_binary,revenue_08,revenue_09,revenue_10,revenue_11,revenue_12,averagerevenues,percapitaaveragerevenue,number_activities,total_proponent_activities,total_opponent_activities,thousands_averagerevenue,percap_thousands,log_revenue,all_orgs,environmental_orgs,obama08,obama12,urbanpct,dem,wells,wells19902007,allproduction0812,one policy ,multi policies,1st ,2nd ,3rd ,4th,5th,6th,7th,number adopted anti,county A,county B,county C,year,policytype,policysubtype,stanceie,Month first anti,Start of year,Day of passage,Day subtract,Landowner Coalition?,Count of all post secondary Institutions,Count of institutions that offer at least a Bachelor's degree,dist_pa,dist_hway,waterwell_count,Matches Ban 0812,Matches Road 0812,Matches Moratoriums 0812,Matches Bans 0307,Matches Road 0307,Matches Moratoriums 0307,Matches Sustainability 0812,Matches Tourism 0812,Matches Sustainability 0307,Local government as involved agencies,,,,
Cohoes,472,472,city,978847,Albany,0,1,city,0,1,16168,3.8,4284.6,87.2,0.068,0.469983,0,25694,32856,42054,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,7,5,7,5,2,4,3,4,,,1,1,0,0,0,0,0,0,0,0,0,0.006602,0.195638,0.026062,0.517416,2.96515,0.582049,,,0.2217,0.739115,2,0,0,0,0,0,0,0,0,2,0,0,2,Albany,,,,,,,,,,,,,,,,,,,,,,,1.70E+07,1.70E+07,1.80E+07,1.80E+07,1.80E+07,1.80E+07,1093.09,0,,,17673.1,25.694,9.7798,0,0,56.8,62.9,0.780302,59.85,0,0,0,,,,,,,,,,,Albany,Albany,Albany,,,,,,,,,0,0,0,155151.1116,2680,1,,8,,,2,,2,,4,,,,,
Corning,1051,1051,city,978867,Steuben,0,0,city,1,1,11183,3.1,3626.4,93.6,0.081,0.520909,0,25627,32780,46674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.014942,3.14098,0.33672,29.6425,2.47623,0.705409,,,3.4777,33.1202,,,,0,0,0,0,0,0,,0,0,,Steuben,,,,,,,,,,,,,,,,,,,,,,,1.90E+06,1.90E+06,2.10E+06,2.30E+06,2.30E+06,2.10E+06,335.96,,,,2106.49,25.627,7.65278,0,0,44.7,44.9,0.067289,44.8,24,17,0,,,,,,,,,,,Steuben,Steuben,Steuben,,,,,,,,,1,0,0,16196.46062,884,0,,,,,,,,,,,,,,
Cortland,38,38,city,978870,Cortland,0,0,city,1,1,19204,3.9,4931.7,89.1,0.083,0.459431,0,18893,26478,39167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.015985,0.256449,0.035792,0.447917,3.117,0.057336,,,0.292241,0.740158,,,,0,0,0,0,0,0,,0,0,,Cortland,,,,,,,,,,,,,,,,,,,,,,,2.00E+07,1.90E+07,2.20E+07,2.10E+07,2.10E+07,2.10E+07,1081.56,,,,20770.2,18.893,9.94128,1,0,64.8,63,0.799232,63.9,0,0,0,1,,1,,,,,,,1,Cortland,Cortland,Cortland,2011,1,1,Anti,9,1/1/2011,9/20/2011,262,0,1,1,66913.22408,981,0,,,,,2,2,1,,2,,,,,
Dunkirk,714,714,city,978911,Chautauqua,0,1,city,1,1,1318,6.2,211.6,80.9,0.055,0.628976,0,20449,28313,35058,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,2,2,1,3,,,1,2,0,0,0,0,0,0,0,0,0,0.027104,1.97514,0.025019,2.4241,1.60437,0.227607,,,2.00016,4.42427,2,2,2,0,0,0,0,0,0,6,0,0,2,Chautauqua,,,,,,,,,,,,,,,,,,,,,,,762196,798401,815826,853642,859500,817913,65.1,,,,817.913,20.449,6.70676,0,0,50.4,49,0.356527,49.7,65,0,2,,,,,,,,,,,Chautauqua,Chautauqua,Chautauqua,,,,,,,,,0,0,0,42551.35223,2330,0,,,,,2,,,,,,,,,
Elmira,1113,1113,city,978938,Chemung,0,1,city,1,1,29200,7.2,4028.2,81.6,0.107,0.469313,0,16830,27293,33593,2,0,2,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,6,1,6,1,3,7,0,0,0,,,,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,3,2,3,3,2,5,0,0,,,1,2,1,1,1,1,1,0,5,3,2,0.01529,0.345755,0.023629,0.600466,6.25103,0.256102,0,,0.36938,0.96985,0,0,0,0,0,0,0,0,1,0,0,1,2,Chemung,1,0,1,0,1,1,0,0,0,1,,,,,,,,,,,0,,3.30E+07,3.00E+07,3.40E+07,3.40E+07,3.30E+07,3.30E+07,1128.22,9,,5,32943.9,16.83,10.4026,1,0,59.5,61.3,0.868199,60.4,7,5,4,,,,,,,,,,,Chemung,Chemung,Chemung,,,,,,,,,1,0,0,10156.34193,1710,0,,2,,,2,,,,,,,,,
Fulton,53,53,city,978979,Oswego,0,1,city,0,1,11896,3.8,3168.4,85.3,0.1,0.527564,0,18736,29054,38655,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,5,3,5,3,5,1,5,6,6,,,1,1,0,0,1,0,1,0,2,2,0,0.006255,5.86184,0.364172,54.0836,2.04673,1.49422,,,6.22601,60.3097,0,0,0,0,0,0,0,0,0,0,0,0,0,Oswego,,,,,,,,,,,,,,,,,,,,,,,635750,618085,617625,747020,623482,648392,449.65,7,,,648.392,18.736,6.4745,0,0,38.3,36.2,0.031488,37.25,0,0,0,,,,,,,,,,,Oswego,Oswego,Oswego,,,,,,,,,0,0,0,146694.2501,23300,0,1,1,,1,2,1,,,,,,,,
Geneva,915,915,city,978992,Ontario,0,0,city,1,1,13261,4.2,3161.4,93.1,0.086,0.505167,0,18856,31600,41224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.042742,11.2455,0.815564,3.88843,2.43453,0.649115,,,12.0611,15.9495,,,,0,0,0,0,0,0,,0,0,,Ontario,,,,,,,,,,,,,,,,,,,,,,,3.30E+06,3.20E+06,3.30E+06,3.40E+06,3.60E+06,3.30E+06,1016.89,3,,,3346.59,18.856,8.1157,2,0,56.2,54.2,0.127462,55.2,5,0,0,1,,1,,,,,,,1,Ontario,Ontario,Ontario,2011,4,1,Anti,6,1/1/2011,6/1/2011,151,0,0,0,95983.63019,10000,0,,,,,2,,,,,,,,,
Glen Cove,1252,1252,city,979003,Nassau,0,1,city,0,0,26964,6.7,4051.7,80.8,0.046,0.594812,0,36463,55503,63021,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.105985,0.052471,0.00139,1.039,5.22975,0.476411,,,0.053861,1.09286,0,0,0,0,0,0,0,0,0,0,0,0,0,Nassau,,,,,,,,,,,,,,,,,,,,,,,3.50E+07,3.60E+07,4.00E+07,4.00E+07,4.10E+07,3.90E+07,1429.53,,,,38546,36.463,10.5596,2,0,57.7,54.5,0.78056,56.1,2,0,4,,,,,,,,,,,Nassau,Nassau,Nassau,,,,,,,,,0,1,1,104438.6476,9570,,,3,1,,5,3,2,,,,,,,
Glens Falls,572,572,city,979004,Warren,0,0,city,0,0,14700,3.9,3817.2,90,0.065,0.509317,0,26309,30222,42266,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,5,7,5,7,5,1,6,5,7,,,0,0,0,0,0,0,0,0,0,0,0,0.003822,0.031274,0.000695,0.140039,3.31195,0.531315,,,0.031969,0.172008,0,0,0,0,0,0,0,0,0,0,0,0,0,Warren,,,,,,,,,,,,,,,,,,,,,,,2.20E+07,2.20E+07,2.20E+07,2.30E+07,2.40E+07,2.30E+07,1540.54,0,,,22645.9,26.309,10.0277,1,0,59.7,61.5,0.849217,60.6,0,0,0,,,,,,,,,,,Warren,Warren,Warren,,,,,,,,,0,1,0,201989.0083,2350,4,,2,1,2,7,,,,,,,,,
Gloversville,493,493,city,979006,Fulton,0,0,city,0,1,15665,5.1,3048.1,78.9,0.135,0.475949,0,18505,26755,34713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.003822,0.305445,0.034749,1.18391,3.31334,0.185213,,,0.340195,1.5241,,,,0,0,0,0,0,0,,0,0,,Fulton,,,,,,,,,,,,,,,,,,,,,,,1.50E+07,1.50E+07,1.60E+07,1.60E+07,1.70E+07,1.60E+07,999.46,,,,15656.6,18.505,9.65865,1,0,53.5,54.6,0.649674,54.05,0,0,0,,,,,,,,,,,Fulton,Fulton,Fulton,,,,,,,,,0,0,0,143086.9939,11500,2,,5,1,,1,,,,,,,,,
