municipality,id,id_new,muni_type,gnis_id,county,outer,rr1,muni_type_numeric,marcellus,utica,population,land_area,density,high_school,unemployment,homeownership,inner,percap_acs,median_household,median_family,opponent,proponent,entrepreneurship,contested_entrepreneurship,entrepreneurship_binary,opponent_binary,proponent_binary,oban,omoratorium,ozoningpreventing,ozoningallowing,oroaduse,operformance,oresolutionopposing,onolease,oidontknow,oother,o_verballorwritten,obefore2008,o2008,o2009,o2010,o2011,o2012,o2013,o2014,o_dontknowyear,o_activitylevel5,o_controversy6,o_knowledge7,o_wellregarded8,o_livework9,o_otherissues10,o_occupation10,ooppositionretired,o_success12,o_binaryog12,oogmunicipalitybased,oogpublic,ooglandownercoalition,o_letteremail13,o_petitiom13,o_publicmtg13,o_officialsmuni13,o_officialsoutside13,o_orggroup13,o_presentation13,o_protest13,idontknow,o_other13,o_verbalwritten13,o_people14,o_officialsmunicipality_14,o_officialsregion14,o_prominentmunicipality14,oprominentregion,o_friendly14,o_wellrespected14,o_informedgovernment14,o_informedfracking14,o_time14,o_money14,pmoratorium,pzoningfacilitating,proaduse,pperformance,presolution,ppermittesting,please,pidontknow,pother,pverbalorwritten,pinaction,pbefore2008,p2008,p2009,p2010,p2011,p2012,p2013,p2014,p_dontknow_16,p_activitylevel17,p_controversy18,p_knowledge19,p_wellregarded20,p_livework21,p_otherissues22,p_occupation23,pretired,p_success24,p_binaryog26,pogmunicipalitybased,pogenergyco,pogpublic,poglandownercoalition,p_letteremail26,p_petition26,p_publicmtg26,p_officialsmuni26,p_officialsoutside26,p_orggroup26,p_presentation26,p_protest26,p_dontknow_26,p_other_26,p_verbalorwritten_26,ppeople,p_officialsmunicipality_27,pofficialsregion,pprominentmunicipality,pprominentregion,pfriendly,pwellrespected,pinformedgovernment,pinformedfracking,ptime,pmoney,view_self28,view_others29,change_others30,view_legislators31,change_legislators32,view_chief33,change_chief34,gender,age,years,education,othercompleted,duplicatemerge,shales,shalelayers,ambiguity_otherviews,ambiguity_changeotherviews,ambiguity_viewlegislators,ambiguity_changelegislators,ambiguity_viewchief,ambiguity_changechief,sum_ambiguity,sum_ambiguity_views,sum_ambiguity_change,nodatami2,agmi2,pasturemi2,forestmi2,urbanmi2,watermi2,o_controversy_split,p_controversy_split,ag_pasture,ag_pasture_forest,view_others_binary,view_legislators_binary,view_chief_binary,positive_comm_change,negative_comm_change,positive_leg_change,negative_leg_change,positive_chief_change,negative_chief_change,community_view_sum,community_trends_positive_sum,community_trends_negative_sum,view_self_binary,county_numeric,o_time14_binary,o_money14_binary,o_informedfracking14_binary,o_informedgovernment14_binary,o_wellrespected14_binary,o_friendly14_binary,o_prominentregion14_binary,o_prominentmunicipality14_binary,o_officialsregion14_binary,o_officialsmunicipality14_binary,p_time27_binary,p_money27_binary,p_informedfracking27_binary,p_informedgovernment27_binary,p_wellrespected27_binary,p_friendly27_binary,p_prominentregion27_binary,p_prominentmunicipality27_binary,p_officialsregion27_binary,p_officialsmunicipality27_binary,o_people14_binary,p_people27_binary,revenue_08,revenue_09,revenue_10,revenue_11,revenue_12,averagerevenues,percapitaaveragerevenue,number_activities,total_proponent_activities,total_opponent_activities,thousands_averagerevenue,percap_thousands,log_revenue,all_orgs,environmental_orgs,obama08,obama12,urbanpct,dem,wells,wells19902007,allproduction0812,one policy ,multi policies,1st ,2nd ,3rd ,4th,5th,6th,7th,number adopted anti,county A,county B,county C,year,policytype,policysubtype,stanceie,Month first anti,Start of year,Day of passage,Day subtract,Landowner Coalition?,Count of all post secondary Institutions,Count of institutions that offer at least a Bachelor's degree,dist_pa,dist_hway,waterwell_count,Matches Ban 0812,Matches Road 0812,Matches Moratoriums 0812,Matches Bans 0307,Matches Road 0307,Matches Moratoriums 0307,Matches Sustainability 0812,Matches Tourism 0812,Matches Sustainability 0307,Local government as involved agencies,,,,
Henrietta,1523,1523,town,979063,Monroe,0,0,town,0,1,42581,35.4,1204.5,93.8,0.067,0.735953,0,24026,51081,60803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0.312048,9.90595,0.732513,6.87791,15.0419,2.62843,,,10.6385,17.5164,,,,0,0,0,0,0,0,,0,0,,Monroe,,,,,,,,,,,,,,,,,,,,,,,1.30E+07,1.20E+07,1.30E+07,1.40E+07,1.40E+07,1.30E+07,313.5,,,,13349.2,24.026,9.49921,0,0,56.6,56.6,0.424912,56.6,1,0,0,,,,,,,,,,,Monroe,Monroe,Monroe,,,,,,,,,0,0,0,117549.9982,194,12,,7,,,4,2,1,,,,,,,
Herkimer,179,179,town,979064,Herkimer,0,0,town,0,0,10175,31.7,321.4,88.5,0.078,0.586334,0,18907,28763,42296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0.00417,9.27387,0.544867,16.9236,1.74927,1.27252,,,9.81873,26.7423,,,,0,0,0,0,0,0,,0,0,,Herkimer,,,,,,,,,,,,,,,,,,,,,,,1.90E+06,1.90E+06,1.90E+06,1.90E+06,1.80E+06,1.90E+06,184.78,,,,1880.12,18.907,7.53909,0,0,47.6,50.5,0.055182,49.05,0,0,0,1,,1,,,,,,,1,Herkimer,Herkimer,Herkimer,2012,1,2,Anti,7,1/1/2012,7/2/2012,183,0,0,0,121983.0779,4840,31,,2,1,,,1,1,1,,,,,,
Hermon,322,322,town,979065,St Lawrence,0,0,town,0,0,1108,53.1,20.8,80.7,0.114,0.841969,0,21762,34500,35813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0,0.059074,0,0.184866,0.153244,0.018765,,,0.059074,0.243939,,,,0,0,0,0,0,0,,0,0,,St Lawrence,,,,,,,,,,,,,,,,,,,,,,,202220,226998,283773,262977,265573,248308,588.41,0,,,248.308,21.762,5.51467,0,0,58.9,55.3,0.38311,57.1,0,0,0,,,,,,,,,,,St Lawrence,St Lawrence,St Lawrence,,,,,,,,,0,0,0,267199.1992,52000,58,,,,,,,,,,,,,,
Highlands,unknown,,town,979067,Orange,0,0,town,0,0,12492,30.4,410.8,93.4,0.099,0.415132,0,22853,52816,59345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0.066023,0.806876,0.052471,24.4085,3.64206,3.34426,,,0.859348,25.2679,,,,0,0,0,0,0,0,,0,0,,Orange,,,,,,,,,,,,,,,,,,,,,,,1.70E+06,1.70E+06,1.80E+06,1.80E+06,1.80E+06,1.80E+06,140.8,,,,1758.92,22.853,7.47245,0,0,53.6,55.4,0.119805,54.5,0,0,0,,,,,,,,,,,Orange,Orange,Orange,,,,,,,,,0,0,0,7195.59189,25700,168,,3,,,4,2,1,,2,,,,,
Highlands ,1466,1466,town,979066,Sullivan,0,0,town,1,1,2530,50.1,50.5,93.4,0.095,0.748984,0,28619,40676,50134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.003127,0.365214,0.136217,46.1612,1.77673,2.47484,,,0.501431,46.6626,,,,0,0,0,0,0,0,,0,0,,Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,5.50E+06,4.90E+06,4.90E+06,5.10E+06,2025.24,,,,5123.85,28.619,8.54166,0,0,48.7,48.1,0.035464,48.4,0,0,0,,1,1,,,,,,,7,Sullivan,Sullivan,Sullivan,2008,1,2,Anti,7,1/1/2008,7/1/2008,182,1,0,0,56931.56667,7820,28,,10,,,5,,1,,1,,,,,
Highlands ,1466,1466,town,979066,Sullivan,0,0,town,1,1,2530,50.1,50.5,93.4,0.095,0.748984,0,28619,40676,50134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.003127,0.365214,0.136217,46.1612,1.77673,2.47484,,,0.501431,46.6626,,,,0,0,0,0,0,0,,0,0,,Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,5.50E+06,4.90E+06,4.90E+06,5.10E+06,2025.24,,,,5123.85,28.619,8.54166,0,0,48.7,48.1,0.035464,48.4,0,0,0,,1,,,,,,,1,7,Sullivan,Sullivan,Sullivan,2012,1,9,Anti,7,1/1/2012,7/10/2012,191,1,0,0,56931.56667,7820,28,,10,,,5,,1,,1,,,,,
Highlands ,1466,1466,town,979066,Sullivan,0,0,town,1,1,2530,50.1,50.5,93.4,0.095,0.748984,0,28619,40676,50134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.003127,0.365214,0.136217,46.1612,1.77673,2.47484,,,0.501431,46.6626,,,,0,0,0,0,0,0,,0,0,,Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,5.50E+06,4.90E+06,4.90E+06,5.10E+06,2025.24,,,,5123.85,28.619,8.54166,0,0,48.7,48.1,0.035464,48.4,0,0,0,,1,,1,,,,,,7,Sullivan,Sullivan,Sullivan,2011,1,2,Anti,4,1/1/2011,4/13/2011,102,1,0,0,56931.56667,7820,28,,10,,,5,,1,,1,,,,,
Highlands ,1466,1466,town,979066,Sullivan,0,0,town,1,1,2530,50.1,50.5,93.4,0.095,0.748984,0,28619,40676,50134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.003127,0.365214,0.136217,46.1612,1.77673,2.47484,,,0.501431,46.6626,,,,0,0,0,0,0,0,,0,0,,Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,5.50E+06,4.90E+06,4.90E+06,5.10E+06,2025.24,,,,5123.85,28.619,8.54166,0,0,48.7,48.1,0.035464,48.4,0,0,0,,1,,,,,,1,,7,Sullivan,Sullivan,Sullivan,2011,1,2,Anti,6,1/1/2011,6/14/2011,164,1,0,0,56931.56667,7820,28,,10,,,5,,1,,1,,,,,https://www.foodandwaterwatch.org/insight/local-resolutions-against-fracking
Highlands ,1466,1466,town,979066,Sullivan,0,0,town,1,1,2530,50.1,50.5,93.4,0.095,0.748984,0,28619,40676,50134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.003127,0.365214,0.136217,46.1612,1.77673,2.47484,,,0.501431,46.6626,,,,0,0,0,0,0,0,,0,0,,Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,5.50E+06,4.90E+06,4.90E+06,5.10E+06,2025.24,,,,5123.85,28.619,8.54166,0,0,48.7,48.1,0.035464,48.4,0,0,0,,1,,,,,1,,,7,Sullivan,Sullivan,Sullivan,2011,1,3,Anti,12,1/1/2011,12/13/2011,346,1,0,0,56931.56667,7820,28,,10,,,5,,1,,1,,,,,
Highlands ,1466,1466,town,979066,Sullivan,0,0,town,1,1,2530,50.1,50.5,93.4,0.095,0.748984,0,28619,40676,50134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.003127,0.365214,0.136217,46.1612,1.77673,2.47484,,,0.501431,46.6626,,,,0,0,0,0,0,0,,0,0,,Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,5.50E+06,4.90E+06,4.90E+06,5.10E+06,2025.24,,,,5123.85,28.619,8.54166,0,0,48.7,48.1,0.035464,48.4,0,0,0,,1,,,,1,,,,7,Sullivan,Sullivan,Sullivan,2011,3,4,Neutral (treated as anti in Stata),6,1/1/2011,6/14/2011,164,1,0,0,56931.56667,7820,28,,10,,,5,,1,,1,,,,,
Highlands ,1466,1466,town,979066,Sullivan,0,0,town,1,1,2530,50.1,50.5,93.4,0.095,0.748984,0,28619,40676,50134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.003127,0.365214,0.136217,46.1612,1.77673,2.47484,,,0.501431,46.6626,,,,0,0,0,0,0,0,,0,0,,Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,5.50E+06,4.90E+06,4.90E+06,5.10E+06,2025.24,,,,5123.85,28.619,8.54166,0,0,48.7,48.1,0.035464,48.4,0,0,0,,1,,,1,,,,,7,Sullivan,Sullivan,Sullivan,2011,3,4,Anti,6,1/1/2011,6/14/2011,164,1,0,0,56931.56667,7820,28,,10,,,5,,1,,1,,,,,
Hillsdale,1378,1378,town,979068,Columbia,0,0,town,0,0,1927,47.7,40.4,87.3,0.049,0.742551,0,47499,40156,46250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0.054209,8.08232,1.16792,35.3653,2.65206,0.628613,,,9.25024,44.6155,,,,0,0,0,0,0,0,,0,0,,Columbia,,,,,,,,,,,,,,,,,,,,,,,1.30E+06,1.40E+06,1.40E+06,1.50E+06,1.50E+06,1.40E+06,739.88,,,,1425.75,47.499,7.26245,1,0,66.1,63.8,0.055599,64.95,0,0,0,,,,,,,,,,,Columbia,Columbia,Columbia,,,,,,,,,1,0,0,133652.0831,16900,140,,3,,,1,,1,,,,,,,
Hinsdale,842,842,town,979069,Cattaraugus,0,0,town,1,1,1974,49.6,39.8,88.7,0.098,0.899148,0,16920,33110,36949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.004517,4.39056,1.27634,31.2743,1.81009,0.076796,,,5.6669,36.9412,,,,0,0,0,0,0,0,,0,0,,Cattaraugus,,,,,,,,,,,,,,,,,,,,,,,757799,747316,729001,752286,775830,752446,381.18,,,,752.446,16.92,6.62333,0,0,37.1,32.6,0.036494,34.85,27,1,0,,,,,,,,,,,Cattaraugus,Cattaraugus,Cattaraugus,,,,,,,,,0,0,0,18568.51018,970,72,,,,,1,,1,,,,,,,
Holland ,736,736,town,979070,Erie,0,1,town,1,1,3401,35.8,95,90.4,0.061,0.827035,0,27448,46708,55885,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,3,3,1,1,4,1,2,0,,,,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,3,2,2,1,1,0,,2,0,,,,,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,3,3,4,4,4,3,2,2,4,1,9,,,1,2,1,0,0,0,1,1,3,2,1,0.012857,7.66428,1.16271,25.3447,1.26383,0.33811,1,1,8.82699,34.1717,0,2,0,0,0,0,0,0,0,2,0,0,0,Erie,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1.90E+06,1.80E+06,1.80E+06,1.90E+06,1.90E+06,1.90E+06,549.83,5,4,3,1869.97,27.448,7.53368,0,0,41.2,39.3,0.035302,40.25,55,2,0,,1,,1,,,,,,2,Erie,Erie,Erie,2011,3,4,Anti,4,1/1/2011,4/25/2011,114,0,0,0,72355.56027,27500,132,,3,1,,5,,2,,,,,,,
Holland ,736,736,town,979070,Erie,0,1,town,1,1,3401,35.8,95,90.4,0.061,0.827035,0,27448,46708,55885,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,3,3,1,1,4,1,2,0,,,,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,3,2,2,1,1,0,,2,0,,,,,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,3,3,4,4,4,3,2,2,4,1,9,,,1,2,1,0,0,0,1,1,3,2,1,0.012857,7.66428,1.16271,25.3447,1.26383,0.33811,1,1,8.82699,34.1717,0,2,0,0,0,0,0,0,0,2,0,0,0,Erie,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1.90E+06,1.80E+06,1.80E+06,1.90E+06,1.90E+06,1.90E+06,549.83,5,4,3,1869.97,27.448,7.53368,0,0,41.2,39.3,0.035302,40.25,55,2,0,,1,,,1,,,,,2,Erie,Erie,Erie,2012,1,9,Anti,8,1/1/2012,8/8/2012,220,0,0,0,72355.56027,27500,132,,3,1,,5,,2,,,,,,,
Holland ,736,736,town,979070,Erie,0,1,town,1,1,3401,35.8,95,90.4,0.061,0.827035,0,27448,46708,55885,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,3,3,1,1,4,1,2,0,,,,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,3,2,2,1,1,0,,2,0,,,,,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,3,3,4,4,4,3,2,2,4,1,9,,,1,2,1,0,0,0,1,1,3,2,1,0.012857,7.66428,1.16271,25.3447,1.26383,0.33811,1,1,8.82699,34.1717,0,2,0,0,0,0,0,0,0,2,0,0,0,Erie,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1.90E+06,1.80E+06,1.80E+06,1.90E+06,1.90E+06,1.90E+06,549.83,5,4,3,1869.97,27.448,7.53368,0,0,41.2,39.3,0.035302,40.25,55,2,0,,1,1,,,,,,,,Erie,Erie,Erie,2010,3,4,Pro,8,1/1/2010,8/11/2010,222,0,0,0,72355.56027,27500,132,,3,1,,5,,2,,,,,,,
Homer,62,62,town,979071,Cortland,0,1,town,1,1,6405,50.2,127.6,92.5,0.053,0.766962,0,26943,41321,51968,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,3,3,1,2,0,,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,4,2,5,6,5,,,1,2,1,0,0,1,0,0,2,1,1,0.028147,20.2775,2.24862,22.6096,2.47901,1.09078,1,,22.5262,45.1357,0,1,1,0,1,0,0,0,0,2,0,1,0,Cortland,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,1.20E+06,1.30E+06,1.50E+06,1.40E+06,1.50E+06,1.40E+06,218.2,3,,2,1397.54,26.943,7.24247,1,0,52.3,51.8,0.049383,52.05,3,2,0,,,,,,,,,,,Cortland,Cortland,Cortland,,,,,,,,,0,0,0,74228.68639,111,140,,2,,,,,1,,,,,,,
Hoosick,498,498,town,979072,Rensselaer,0,0,town,0,0,6924,63,109.8,89.3,0.049,0.7,0,23999,41304,46442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,0.120927,18.3358,2.09329,36.1618,3.23724,1.55433,,,20.4291,56.5908,,,,0,0,0,0,0,0,,0,0,,Rensselaer,,,,,,,,,,,,,,,,,,,,,,,1.80E+06,1.80E+06,1.80E+06,1.80E+06,1.90E+06,1.80E+06,266.7,,,,1846.61,23.999,7.52111,0,0,51.7,52.2,0.051385,51.95,0,0,0,,,,,,,,,,,Rensselaer,Rensselaer,Rensselaer,,,,,,,,,0,0,0,185319.564,32100,193,,5,,3,,3,,1,,,,,,
Hope,519,519,town,979073,Hamilton,0,1,town,0,0,403,40.7,9.9,89.8,0.024,0.864734,0,32600,32000,32000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0.00417,0.147337,0.00973,37.7564,0.996607,2.72781,,,0.157066,37.9135,0,0,0,0,0,0,0,0,0,0,0,0,0,Hamilton,,,,,,,,,,,,,,,,,,,,,,,475947,447168,463773,527366,477816,478414,1187.13,0,,,478.414,32.6,6.17048,0,0,34.3,24.7,0.024487,29.5,0,0,0,,,,,,,,,,,Hamilton,Hamilton,Hamilton,,,,,,,,,0,0,0,173209.1007,41100,42,,,,,,,1,,,,,,,
Hopewell,890,890,town,979074,Ontario,0,0,town,1,1,3747,35.7,105,87.5,0.077,0.761871,0,23671,41604,46452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.076448,23.2093,1.73572,7.11455,2.0707,1.50534,,,24.9451,32.0596,,,,0,0,0,0,0,0,,0,0,,Ontario,,,,,,,,,,,,,,,,,,,,,,,2.90E+06,2.30E+06,2.40E+06,2.60E+06,2.60E+06,2.60E+06,682.91,,,,2558.85,23.671,7.84731,0,0,45.5,46.9,0.058003,46.2,4,2,0,1,,1,,,,,,,1,Ontario,Ontario,Ontario,2012,1,2,Anti,6,1/1/2012,6/20/2012,171,0,0,0,100166.4487,8170,35,,1,1,,2,,,,,,,,,
Hopkinton,663,663,town,979075,St Lawrence,0,1,town,0,0,1077,185.3,5.8,89.9,0.089,0.849624,0,22245,31750,34205,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,6,5,7,0,2,5,5,2,,,0,0,0,0,0,0,0,0,0,0,0,0.01112,5.8462,0.052124,158.485,0.843363,21.1317,,,5.89833,164.383,0,0,0,0,0,0,0,0,0,0,0,0,0,St Lawrence,,,,,,,,,,,,,,,,,,,,,,,807453,859133,859527,904429,936892,873487,811.04,0,,,873.487,22.245,6.77249,0,0,47.2,47.4,0.004551,47.3,0,0,0,,,,,,,,,,,St Lawrence,St Lawrence,St Lawrence,,,,,,,,,0,0,0,288448.7187,92000,29,,1,,,,,1,,,,,,,
Horicon,1470,1470,town,979076,Warren,0,1,town,0,0,1389,65.8,21.1,90,0.054,0.876404,0,32637,36481,41184,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5,2,5,1,1,1,4,2,2,,,0,0,1,0,0,0,0,0,1,1,0,0.012857,0.484404,0.01946,58.2654,1.98036,11.0318,,,0.503863,58.7692,0,1,1,0,0,0,0,1,0,2,1,0,1,Warren,,,,,,,,,,,,,,,,,,,,,,,2.40E+06,2.30E+06,2.30E+06,2.50E+06,2.50E+06,2.40E+06,1735.49,0,,,2410.6,32.637,7.78763,0,0,40.7,39.3,0.030097,40,1,0,0,,,,,,,,,,,Warren,Warren,Warren,,,,,,,,,0,0,0,232801.4367,6910,314,,3,,,1,,,,,,,,,
Hornby,1031,1031,town,979077,Steuben,0,0,town,1,1,1706,40.8,41.8,83.3,0.128,0.908935,0,25152,38060,41389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.003127,6.32366,0.87429,32.3498,1.18495,0.154981,,,7.19795,39.5477,,,,0,0,0,0,0,0,,0,0,,Steuben,,,,,,,,,,,,,,,,,,,,,,,1.00E+06,1.10E+06,994760,1.00E+06,1.00E+06,1.00E+06,600.85,,,,1025.04,25.152,6.93249,0,0,39.8,40,0.029043,39.9,37,16,0,,,,,,,,,,,Steuben,Steuben,Steuben,,,,,,,,,1,0,0,25710.16673,8080,34,,2,,,6,3,1,,,,,,,
Hornellsville,1020,1020,town,979079,Steuben,0,0,town,1,1,4151,43.3,95.8,89,0.064,0.802455,0,25189,36932,48688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,0.043089,8.2717,2.22464,28.6591,2.73441,0.453824,,,10.4963,39.1554,,,,0,0,0,0,0,0,,0,0,,Steuben,,,,,,,,,,,,,,,,,,,,,,,1.10E+06,1.20E+06,1.20E+06,1.20E+06,1.30E+06,1.20E+06,291.51,,,,1210.07,25.189,7.09843,0,0,34.5,35.1,0.06315,34.8,14,5,0,,,,,,,,,,,Steuben,Steuben,Steuben,,,,,,,,,1,0,0,37294.27715,3620,57,,1,,,,2,,,,,,,,
